title,price,area,address
相当于一手新房拿到房子一直空关的 8号线站口动迁房 ,240万,76.1平方米,浦江-先新路1058弄
给您带来爱的港湾 爱就像蓝天白云 晴空万里 突然暴风雨 ,168万,41.26平方米,中原-开鲁路320弄
 去找一个温暖如太阳的人丨为你掉不值一提的悲伤丨看房找我,386.6万,104.3平方米,康桥-秀沿路1028弄2支弄1-110号
拎包入住干净整洁布局有致南北对流采光通风好 二期新房 ,240万,74平方米,西渡-新南家园1-204号
地铁双轨看房有钥匙现在低于市场价30万急售 本人实地拍摄 ,235万,53平方米,世博-上南路1500弄16支弄、德州路223弄、上
送40万车位看好房子60万急售 上门实拍!楼上面积全送 ,500万,75.3平方米,四川北路-华昌路68弄
层 平安富邸精装修2室落地窗带阳台南向采阳好户型正 ,72万,45平方米,奉城-海旗路1518弄
布局好双阳台南北户型次卧大 3楼96平236万可以谈 ,236万,90平方米,惠南-南六公路399弄
 南北两房 西山墙全明 楼层好 房东诚心出售,218万,53平方米,中原-中原路99弄
景观楼层 随时看带固定车位精装修3房 高品质小区 ,580万,123.9平方米,高行-俱进路285弄
值得关注!德系精装修再降430万 宝业爱多邦 青浦一手现房 ,430万,117.36平方米,青浦新城-青湖东路近沪青平公路
有钥匙独佳急售195万确定收钱近万达 南北通两房 ,195万,78平方米,浦江-永颂路198弄
 南北通两房 半年出一套 去年精装 老少皆宜 位置近 看过都说好,321万,73平方米,高境-殷高西路101弄
 满五省个税 经典南北通 带产权车位 无付款要求 位置安静 随时看,880万,145平方米,张江-青桐路409弄、青桐路408弄
随时可以看房1000平花园1200万装修 楼皇!7700万二手买入 ,11000万,493平方米,碧云-锦绣东路418弄
看房方便 低区楼层 精装修双南户型两房改三房 ,320万,73平方米,高境-高境二村
婚房刚拎包入住居家必备大柏树地铁八 1梯2户 ,440万,82平方米,江湾镇-车站北路24弄
 新出丨高层全新丨南向卧室丨北向客厅直观小区全景丨中邦翡翠系列,430万,103.2平方米,康桥-秀沿路867弄
快可地铁口送精装修带地暖 首付10万买两房 ,40.3万,32平方米,朱家角-商榻北路224弄
